iter	Passed	Remaining
402	11151	16520
403	11176	16487
404	11202	16458
405	11225	16423
406	11254	16397
407	11280	16367
408	11307	16339
409	11335	16311
410	11366	16288
411	11393	16260
412	11422	16234
413	11449	16206
414	11478	16180
415	11504	16150
416	11533	16124
417	11567	16105
418	11594	16077
419	11618	16044
420	11644	16015
421	11668	15981
422	11696	15954
423	11719	15920
424	11744	15889
425	11770	15859
426	11796	15830
427	11823	15800
428	11851	15774
429	11878	15745
430	11902	15713
431	11927	15682
432	11954	15654
433	11981	15625
434	12008	15597
435	12030	15562
436	12055	15531
437	12073	15492
438	12098	15460
439	12120	15425
440	12143	15393
441	12170	15364
442	12194	15333
443	12224	15307
444	12256	15286
445	12287	15262
446	12314	15234
447	12337	15201
448	12362	15171
449	12388	15140
450	12412	15109
451	12436	15077
452	12463	15049
453	12487	15017
454	12513	14988
455	12537	14957
456	12562	14927
457	12587	14896
458	12613	14866
459	12638	14836
460	12669	14812
461	12694	14782
462	12716	14749
463	12739	14716
464	12763	14684
465	12785	14651
466	12808	14618
467	12830	14585
468	12852	14552
469	12876	14520
470	12902	14490
471	12923	14456
472	12945	14423
473	12967	14389
474	12990	14358
475	13013	14325
476	13040	14297
477	13064	14267
478	13090	14238
479	13116	14210
480	13142	14180
481	13166	14150
482	13196	14125
483	13225	14099
484	13248	14068
485	13277	14042
486	13308	14019
487	13336	13992
488	13361	13962
489	13389	13936
490	13411	13903
491	13437	13874
492	13458	13840
493	13482	13809
494	13509	13782
495	13537	13755
496	13557	13721
497	13580	13689
498	13602	13656
499	13626	13626
500	13650	13595
501	13672	13563
502	13698	13534
503	13724	13506
504	13747	13475
505	13770	13443
506	13794	13413
507	13820	13385
508	13843	13354
509	13873	13329
510	13906	13307
511	13932	13279
512	13957	13249
513	13976	13215
514	14002	13187
515	14027	13157
516	14051	13127
517	14078	13099
518	14137	13102
519	14173	13083
520	14197	13053
521	14224	13025
522	14247	12994
523	14269	12962
524	14295	12933
525	14320	12904
526	14345	12875
527	14372	12848
528	14400	12821
529	14426	12792
530	14448	12761
531	14471	12730
